industry_index,industry_id,industry_name,q2_2025_person_month_count,q2_2026_person_month_count,q2_2025_minimum_month_person_count,q2_2026_minimum_month_person_count,q2_2025_kish_effective_person_months,q2_2026_kish_effective_person_months,q2_2025_max_pairwise_month_l1,q2_2026_max_pairwise_month_l1,q2_2025_monthly_top_agreement,q2_2026_monthly_top_agreement,q2_2025_pooled_top_two_margin,q2_2026_pooled_top_two_margin,cross_year_l1,maximum_within_quarter_pairwise_l1,cross_year_to_within_quarter_max_ratio
1,agriculture-forestry-fishing-and-hunting,"Agriculture, Forestry, Fishing, and Hunting",1760,1806,582,592,1198.9203926002735,1232.3506637929884,0.1908725417559737,0.15923644467814224,True,True,0.1707386594773796,0.1617666450547306,,0.1908725417559737,
2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",657,726,212,236,375.3141939668645,374.18687580091887,0.23434088521841145,0.3138446214276028,True,True,0.20613096578342155,0.12631210804625204,0.34073230429699825,0.3138446214276028,1.0856719568654385
3,construction,Construction,9132,8934,3029,2903,7022.897940134758,6445.8655197280905,0.05114082921539645,0.04994882447786074,True,True,0.4139069558009648,0.3896483844452673,0.06406050651984178,0.05114082921539645,1.2526294059494
4,manufacturing,Manufacturing,11239,10698,3672,3507,8916.943490228947,8172.542703798986,0.07816933731451074,0.04619508056022144,True,True,0.21333783876485304,0.2115050062794996,0.049691531479320414,0.07816933731451074,0.6356908371806814
5,wholesale-trade,Wholesale Trade,2243,2223,732,725,1728.9944022114944,1610.3945968363273,0.14841156106171022,0.15843795886359427,True,True,0.14230322615085528,0.0854000583541265,0.13478198002963565,0.15843795886359427,0.8506924792288885
6,retail-trade,Retail Trade,12065,11587,3995,3839,9127.765110706217,8294.194086227115,0.04151169310975718,0.05422197447703861,True,True,0.28561006397012534,0.2532554880146286,0.05933515652692245,0.05422197447703861,1.0943009194925044
7,transportation-and-warehousing,Transportation and Warehousing,6073,6079,2022,1991,4613.337917084378,4336.674078999504,0.05481555244896115,0.06759023496666207,True,True,0.2951105707805525,0.23425972254090183,0.08995171326043987,0.06759023496666207,1.3308388897420949
8,utilities,Utilities,1337,1250,431,408,1002.005984951478,907.6522804912561,0.1896852842992886,0.2268440449724102,False,True,0.0019322441753165942,0.030221629200214428,0.15420900167475454,0.2268440449724102,0.6798018510625224
9,information,Information,1990,2026,654,643,1534.9440441552792,1481.2452058158556,0.14910787798219455,0.13496927377527546,False,True,0.010872092103370784,0.055778322082236015,0.12394952803410196,0.14910787798219455,0.83127417351418
10,finance-and-insurance,Finance and Insurance,5911,5665,1934,1866,4548.07584624854,4241.852454502261,0.061193635915156495,0.09164452602174879,True,True,0.07871879769722256,0.040268589266518745,0.08960026006702666,0.09164452602174879,0.9776935290795548
11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,2167,2203,698,711,1703.2370828801252,1653.2000172793462,0.12030030536240312,0.11161654067660597,True,True,0.08723077073719893,0.07559028679151286,0.11375372425865278,0.12030030536240312,0.9455813425907038
12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",10341,10323,3389,3380,7921.104340274328,7743.05745494127,0.06491549486053776,0.06426470583492395,True,True,0.02264353650492798,0.04715685639986528,0.06934457533088315,0.06491549486053776,1.068228401860922
13,management-of-companies-and-enterprises,Management of Companies and Enterprises,145,81,45,22,118.37416044914764,60.39158432205465,0.46197544733513746,0.4690574043432125,True,False,0.3092111416859223,0.020421132118678853,0.6077589403442754,0.4690574043432125,1.2957026895146804
14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,5213,5159,1716,1684,4039.0236969499038,3768.1362519591135,0.0850376410572513,0.09115865124595454,True,True,0.3602788901124687,0.370850248706464,0.06816396622852862,0.09115865124595454,0.7477509298005725
15,educational-services,Educational Services,11428,10731,3536,3402,8527.288699600054,7697.186252822272,0.055918860648774764,0.058732635255309903,True,True,0.456851402458222,0.46606920332146284,0.04225940297696889,0.058732635255309903,0.71952165594593
16,health-care-and-social-assistance,Health Care and Social Assistance,17653,16985,5862,5511,13319.232540822833,12106.131661471998,0.045525960435630744,0.0630912918948107,True,True,0.15348170396839952,0.16821649628888902,0.03795513173676655,0.0630912918948107,0.6015906569173991
17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",2431,2234,792,699,1866.4929001685805,1594.4581009893805,0.12553163142087656,0.15019920015013863,True,False,0.024973074517404104,0.009741333530998236,0.17381408231326254,0.15019920015013863,1.1572237544508797
18,accommodation-and-food-services,Accommodation and Food Services,7328,7061,2425,2313,5572.452629493882,5033.126059806951,0.07607115657735757,0.07618771999738068,True,True,0.4633886956551951,0.46071530593583154,0.029473692637022625,0.07618771999738068,0.3868562103976327
19,other-services-except-public-administration,"Other Services, Except Public Administration",5699,5519,1881,1786,4330.714599603079,3846.644334927734,0.08870769366220448,0.09709371045686993,True,True,0.08032684031355067,0.1041092833964079,,0.09709371045686993,
20,public-administration,Public Administration,6519,6397,2141,2120,4535.218877841365,4205.187372215435,0.13603591666671863,0.08268986890762826,True,True,0.075135664214658,0.1021025212986206,,0.13603591666671863,
