period,industry_index,industry_id,cps_residual,cps_residual_sign,oews_point_identified,oews_residual_lower,oews_residual_upper,oews_residual_sign_identification,direction_agreement,magnitude_relation,cps_residual_inside_oews_interval
2025-Q2,2,mining-quarrying-and-oil-and-gas-extraction,19.298639856078367,positive,False,20.69416271481999,20.69641308284958,positive,True,oews_larger,False
2025-Q2,3,construction,1.444117642107635,positive,True,3.1952153239380365,3.1952153239380365,positive,True,oews_larger,False
2025-Q2,4,manufacturing,-3.2501755937635863,negative,True,-1.4535024922196058,-1.4535024922196058,negative,True,oews_smaller,False
2025-Q2,5,wholesale-trade,8.574159763811473,positive,True,8.881470570801845,8.881470570801845,positive,True,oews_larger,False
2025-Q2,6,retail-trade,1.3054936017452121,positive,True,2.6555939530453365,2.6555939530453365,positive,True,oews_larger,False
2025-Q2,7,transportation-and-warehousing,-6.3464477311254335,negative,True,-4.238341807451064,-4.238341807451064,negative,True,oews_smaller,False
2025-Q2,8,utilities,11.878061831093312,positive,False,13.314176563490058,13.320512615158052,positive,True,oews_larger,False
2025-Q2,9,information,13.864961321306069,positive,True,13.072330477052418,13.072330477052418,positive,True,oews_smaller,False
2025-Q2,10,finance-and-insurance,4.0166158485376044,positive,True,6.628581254803585,6.628581254803585,positive,True,oews_larger,False
2025-Q2,11,real-estate-and-rental-and-leasing,6.450413500476124,positive,False,8.330984504951765,8.393216267515903,positive,True,oews_larger,False
2025-Q2,12,professional-scientific-and-technical-services,3.9725819271657414,positive,True,6.622610859738089,6.622610859738089,positive,True,oews_larger,False
2025-Q2,13,management-of-companies-and-enterprises,2.7611882818347624,positive,True,6.4770445129823955,6.4770445129823955,positive,True,oews_larger,False
2025-Q2,14,administrative-and-support-and-waste-management-services,4.3289347501537385,positive,True,0.4948141455251118,0.4948141455251118,positive,True,oews_smaller,False
2025-Q2,15,educational-services,-2.990501051930508,negative,True,-1.696558781182432,-1.696558781182432,negative,True,oews_smaller,False
2025-Q2,16,health-care-and-social-assistance,-4.144309224034224,negative,True,-2.5223327641773317,-2.5223327641773317,negative,True,oews_smaller,False
2025-Q2,17,arts-entertainment-and-recreation,-0.23190771343113425,negative,True,6.998113551309864,6.998113551309864,positive,False,oews_larger,False
2025-Q2,18,accommodation-and-food-services,-6.4508274768298755,negative,True,-3.0145342842170315,-3.0145342842170315,negative,True,oews_smaller,False
2026-Q2,2,mining-quarrying-and-oil-and-gas-extraction,-19.00261295543012,negative,False,-13.511634829121416,-13.507007790750574,negative,True,oews_smaller,False
2026-Q2,3,construction,1.071609646769609,positive,True,4.162561721265554,4.162561721265554,positive,True,oews_larger,False
2026-Q2,4,manufacturing,1.4574241161662727,positive,True,5.439351526103366,5.439351526103366,positive,True,oews_larger,False
2026-Q2,5,wholesale-trade,17.89194146657428,positive,True,18.321159154965272,18.321159154965272,positive,True,oews_larger,False
2026-Q2,6,retail-trade,-2.815284016749928,negative,True,-1.7217976691370467,-1.7217976691370467,negative,True,oews_smaller,False
2026-Q2,7,transportation-and-warehousing,-11.235210237137451,negative,True,-8.706461337563702,-8.706461337563702,negative,True,oews_smaller,False
2026-Q2,8,utilities,8.280744066826628,positive,False,12.511724124327735,12.520042903126424,positive,True,oews_larger,False
2026-Q2,9,information,27.354137658221255,positive,True,25.200857280993986,25.200857280993986,positive,True,oews_smaller,False
2026-Q2,10,finance-and-insurance,10.849626185168034,positive,True,14.012995586306971,14.012995586306971,positive,True,oews_larger,False
2026-Q2,11,real-estate-and-rental-and-leasing,5.380463240567906,positive,False,11.912145026562328,11.939189112292667,positive,True,oews_larger,False
2026-Q2,12,professional-scientific-and-technical-services,10.152276816393737,positive,True,13.025251093803952,13.025251093803952,positive,True,oews_larger,False
2026-Q2,13,management-of-companies-and-enterprises,6.831128222276675,positive,True,7.523243193577144,7.523243193577144,positive,True,oews_larger,False
2026-Q2,14,administrative-and-support-and-waste-management-services,7.7878896229401064,positive,True,4.942431808252955,4.942431808252955,positive,True,oews_smaller,False
2026-Q2,15,educational-services,-0.8418213563200965,negative,True,1.0122552372126208,1.0122552372126208,positive,False,oews_larger,False
2026-Q2,16,health-care-and-social-assistance,-4.9659715186290185,negative,True,-1.5509676928175793,-1.5509676928175793,negative,True,oews_smaller,False
2026-Q2,17,arts-entertainment-and-recreation,-10.288534460416958,negative,True,-2.574400790250774,-2.574400790250774,negative,True,oews_smaller,False
2026-Q2,18,accommodation-and-food-services,-7.086576709015517,negative,True,-0.8439166773187914,-0.8439166773187914,negative,True,oews_smaller,False
