period,industry_index,industry_id,industry_name,coverage,point_identified,missing_occupation_count,residual_unpublished_mass_share,observed_industry_adoption,predicted_adoption_lower,predicted_adoption_upper,residual_lower,residual_upper,residual_sign_identification
2025-Q2,2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",0.9998421661814738,False,2,0.0001578338185261829,54.9223558799,34.22594279705042,34.228193165080015,20.69416271481999,20.69641308284958,positive
2025-Q2,3,construction,Construction,0.9999987949455195,True,0,0.0,37.3614483696,34.16623304566196,34.16623304566196,3.1952153239380365,3.1952153239380365,positive
2025-Q2,4,manufacturing,Manufacturing,0.9999992097554113,True,0,0.0,35.0128845868,36.466387079019604,36.466387079019604,-1.4535024922196058,-1.4535024922196058,negative
2025-Q2,5,wholesale-trade,Wholesale Trade,0.9999966802775287,True,0,0.0,41.633456879,32.751986308198155,32.751986308198155,8.881470570801845,8.881470570801845,positive
2025-Q2,6,retail-trade,Retail Trade,1.0,True,0,0.0,31.0596763863,28.404082433254665,28.404082433254665,2.6555939530453365,2.6555939530453365,positive
2025-Q2,7,transportation-and-warehousing,Transportation and Warehousing,0.9999946298921683,True,0,0.0,20.8097327979,25.048074605351065,25.048074605351065,-4.238341807451064,-4.238341807451064,negative
2025-Q2,8,utilities,Utilities,0.9997658862876254,False,5,0.00023411371237458194,51.1037199779,37.78320736274195,37.78954341440994,13.314176563490058,13.320512615158052,positive
2025-Q2,9,information,Information,0.9999965273195769,True,1,3.4726804231113828e-06,59.3019751766,46.229644699547585,46.229644699547585,13.072330477052418,13.072330477052418,positive
2025-Q2,10,finance-and-insurance,Finance and Insurance,1.0,True,0,0.0,45.4443301367,38.81574888189642,38.81574888189642,6.628581254803585,6.628581254803585,positive
2025-Q2,11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,0.998023023538376,False,2,0.001976976461624004,42.1723849562,33.779168688684095,33.841400451248234,8.330984504951765,8.393216267515903,positive
2025-Q2,12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",1.0,True,0,0.0,52.4063018677,45.78369100796191,45.78369100796191,6.622610859738089,6.622610859738089,positive
2025-Q2,13,management-of-companies-and-enterprises,Management of Companies and Enterprises,0.9999964640946492,True,0,0.0,49.3573230881,42.88027857511761,42.88027857511761,6.4770445129823955,6.4770445129823955,positive
2025-Q2,14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,0.9980854367014653,True,1,0.0019145632985347282,27.5099585876,27.015144442074888,27.015144442074888,0.4948141455251118,0.4948141455251118,positive
2025-Q2,15,educational-services,Educational Services,0.9999992780851932,True,0,0.0,37.0550913567,38.75165013788243,38.75165013788243,-1.696558781182432,-1.696558781182432,negative
2025-Q2,16,health-care-and-social-assistance,Health Care and Social Assistance,1.0,True,0,0.0,26.9159098341,29.43824259827733,29.43824259827733,-2.5223327641773317,-2.5223327641773317,negative
2025-Q2,17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",1.0,True,0,0.0,34.3794733773,27.38135982599014,27.38135982599014,6.998113551309864,6.998113551309864,positive
2025-Q2,18,accommodation-and-food-services,Accommodation and Food Services,0.9999768852366007,True,1,2.3114763399383187e-05,22.8353679461,25.84990223031703,25.84990223031703,-3.0145342842170315,-3.0145342842170315,negative
2026-Q2,2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",0.9998421661814738,False,2,0.0001578338185261829,26.0994565394,39.60646433015057,39.611091368521414,-13.511634829121416,-13.507007790750574,negative
2026-Q2,3,construction,Construction,0.9999987949455195,True,0,0.0,43.5424833398,39.379921618534446,39.379921618534446,4.162561721265554,4.162561721265554,positive
2026-Q2,4,manufacturing,Manufacturing,0.9999992097554113,True,0,0.0,47.6586710999,42.21931957379663,42.21931957379663,5.439351526103366,5.439351526103366,positive
2026-Q2,5,wholesale-trade,Wholesale Trade,0.9999966802775287,True,0,0.0,62.1165459402,43.795386785234726,43.795386785234726,18.321159154965272,18.321159154965272,positive
2026-Q2,6,retail-trade,Retail Trade,1.0,True,0,0.0,39.4512265617,41.17302423083704,41.17302423083704,-1.7217976691370467,-1.7217976691370467,negative
